,9_1,9_2,9_3,9_4,9_5,9_6,9_7,9_8,9_9
4-11B-rep2,0.07280132076545616,1.5950173902289854e-06,0.9269325280216627,9.875929690119346e-07,0.0002596491915615491,5.198550883193076e-07,2.7490168978357503e-07,1.816344317428564e-06,1.3083098648649952e-06
4-11C-rep1,0.01233101819845109,2.6519254465082127e-06,0.9296490152084994,1.6420027401327276e-06,0.0580091561304821,8.643272140204239e-07,4.570600865489682e-07,3.0199104690124313e-06,2.1752366110911834e-06
4-11C-rep2,3.5339986979410335e-06,3.1254592795394577e-06,0.9485396999589873,1.9352024801203844e-06,0.05144402523898939,1.0186634451491e-06,5.386737740657508e-07,3.5591525437417794e-06,2.563651802610299e-06
4-12A-rep1,0.6590692680630358,1.0501376412395957e-06,0.24317536998343556,6.502177075537162e-07,0.09775108111159325,3.4226548223130387e-07,1.8099151385469104e-07,1.1958562639304779e-06,8.613733266585754e-07
4-12C-rep1,0.9516063166328266,2.1494974884429196e-06,0.0002873290809350804,1.3309125151232865e-06,0.04809759195011465,7.005736824826736e-07,3.7046648856516714e-07,2.4477648785382614e-06,1.763121070566305e-06
4-12C-rep2,0.9969662442533056,0.0016198534258383647,3.718903176616872e-07,1.4327190336601083e-07,0.0014128185625777703,7.541632060476203e-08,3.988048676898741e-08,2.635003647164314e-07,1.897988851816857e-07
4-1A-rep1,2.3611697036964514e-07,2.0882123599210904e-07,3.3561477345682125e-07,1.2929663695803455e-07,0.17625791583328726,6.805993636473148e-08,3.599039796593327e-08,2.3779757366671984e-07,0.8237408324691878
4-1A-rep2,1.8167486916292299e-06,1.6067278293429887e-06,2.582312061748807e-06,9.94843766027616e-07,0.1918296633080311,5.236718061790384e-07,2.7691998721422874e-07,1.8296797140641201e-06,0.8081607057881128
4-1B-rep1,0.001592198555453932,0.04048696271574885,4.4637400325378484e-07,1.719669752667621e-07,0.2501618136599073,9.052100401721924e-08,4.7867910739684366e-08,3.1627527545448446e-07,0.707757952063721
4-1B-rep2,3.3150637674549327e-06,0.039186971039337874,4.712005128507002e-06,1.8153146542678928e-06,0.3399690211397709,9.555561749957788e-07,5.053023680863198e-07,3.3386593060935813e-06,0.6208293659194918
4-1C-rep1,2.60847699695306e-06,0.034307684593586116,3.70766834348759e-06,1.4283907791990818e-06,0.04839088193912167,7.518848736012516e-07,3.976000753285636e-07,2.6270432822757957e-06,0.9172899124029414
