,5_1,5_2,5_3,5_4,5_5
4-5B-rep1,4.064306964813116e-06,1.8906268501970334e-06,2.917227294524565e-06,0.16591678266961982,0.8340743451692706
4-5B-rep2,2.201000828050652e-06,1.0238575232739118e-06,2.8765293901085675e-05,0.11826006309815781,0.8817079467495899
4-5C-rep1,3.7951101238307215e-06,1.7654023580620163e-06,2.7240065612205933e-06,0.05592738444320595,0.9440643310377509
4-5C-rep2,1.6274814941912676e-05,5.670324315675942e-07,8.74928062127769e-07,0.019830333156210526,0.9801519500683539
4-6A-rep1,0.8697984182366779,0.019850215481292104,4.7075965849945394e-06,0.11034355103434194,3.10765110303983e-06
4-6A-rep2,0.8700361442808442,0.04390581405179964,2.5564773960366542e-06,0.08099470129551341,0.005060783894446663
4-6B-rep1,0.8134415906740484,0.004069358522652781,3.8743149135037615e-06,0.18248261891600262,2.5575723826572525e-06
4-6B-rep2,0.8976065702318765,0.016660096788652254,1.5197748904944625e-06,0.08570465749552858,2.715570905233828e-05
4-6C-rep1,0.9948867064118101,1.7309987565788148e-06,0.005104399248872776,5.400170436848455e-06,1.7631701235915397e-06
4-7A-rep1,0.5109491085235577,0.00780698962816349,1.998262554481176e-06,0.25662914413572147,0.2246127594500029
4-7B-rep1,6.868006638290142e-06,0.8399862817737008,4.929631693091659e-06,9.966914602463518e-06,0.1599919536733654
4-7B-rep2,2.900801924437859e-06,0.8386155050325041,0.00419407800870324,4.003869536770574e-05,0.15714747746150046
4-7C-rep1,4.2752772124491e-06,0.5875187335971869,3.0686548737070832e-06,6.20432173736905e-06,0.4124677181489897
4-7C-rep2,1.3247902390535916e-06,0.5875319858904378,9.508913274380513e-07,1.9225478183451005e-06,0.4124638158801774
4-8A-rep1,0.8287752983446848,3.5741413052279637e-06,5.51488125169282e-06,0.17121197206447783,3.6405682805500527e-06
4-8A-rep2,0.829235490868497,4.224872168003052e-06,0.0001186978528208871,0.1706372830132538,4.303393260281192e-06
