,10_1,10_2,10_3,10_4,10_5,10_6,10_7,10_8,10_9,10_10
1-5C-rep3,1.5478719593476527e-06,2.8917339665894115e-07,4.280977913831881e-07,0.7835342592606079,0.21640328937840508,2.8852299733388345e-06,1.5157283028515154e-06,5.494630678822685e-07,9.133034416107466e-07,5.4322493053808684e-05
1-6A-rep1,1.8810232086127557e-06,3.5141270383765704e-07,0.0001292089004715218,0.9289474352013847,0.07091232758833241,3.5062231790301217e-06,1.8419612154590115e-06,6.677249863727112e-07,1.109875374252366e-06,1.6700891439221409e-06
1-6A-rep2,1.2815401456676538e-06,0.002323640686663844,3.544379123971135e-07,0.035338906537699166,3.321056344539948e-06,2.388788050579875e-06,1.254927229799786e-06,0.962326958037556,7.561575222887835e-07,1.1378308757595804e-06
1-6A-rep3,1.5881509388726953e-06,0.9999794014066529,4.392378227467038e-07,7.029208949195047e-06,4.115625069928985e-06,2.960309903768049e-06,1.5551708348435116e-06,5.637612864961158e-07,9.37069574463424e-07,1.4100589667243608e-06
1-6B-rep1,3.32829614298457e-06,6.217921934313775e-07,9.205129786583719e-07,0.8660817796123629,0.12922988187466905,6.203936788114075e-06,3.2591795682631037e-06,1.1814774461808565e-06,1.9638215575458034e-06,0.00467085949629293
1-6B-rep2,1.2105362364028767e-06,2.2615234622305624e-07,3.3480023077089294e-07,0.8732367186362935,0.12675584927270755,2.256436917788953e-06,1.1853978128245724e-06,4.297157463314366e-07,7.142625100381138e-07,1.074789198497878e-06
1-6C-rep2,1.1468522584351966e-06,2.1425490721949135e-07,3.17187035990913e-07,0.7939122804520096,0.20608067844497274,2.137730121051555e-06,1.1230363188645254e-06,4.0710922923695064e-07,6.766865361973203e-07,1.0182466105284094e-06
1-7A-rep1,4.1511088536349475e-06,7.755100412908333e-07,1.1480798016273037e-06,0.055965331374285665,0.9418792225337077,7.737657895261183e-06,4.064905459185222e-06,0.0021314339054786693,2.4493124121994184e-06,3.685612064727077e-06
1-7A-rep2,1.1762464395323607e-06,2.1974632731954748e-07,3.2531663865683163e-07,0.18863142624579293,0.8087460142356314,0.00016313639465031623,1.1518200900020887e-06,0.0024548116196179094,6.940302231846365e-07,1.0443445887564714e-06
1-7B-rep2,1.6254145120505063e-06,3.0365989421145145e-07,4.4954387763718056e-07,0.12644318909110272,0.8476369048254375,0.025523751705413083,1.591660579482849e-06,0.00038978189880094395,9.590565026615107e-07,1.4431438796287088e-06
1-7C-rep1,2.8472397050209996e-06,5.319212429884197e-07,7.874663158648545e-07,0.36115617791890026,0.6388263414440507,5.307248631643395e-06,2.7881129184107365e-06,1.0107121935178535e-06,1.6799799272689043e-06,2.5279561143780584e-06
1-7C-rep2,1.300120307599753e-06,2.428884399277674e-07,3.595766619161796e-07,0.48423140496132855,0.5157606129459881,2.42342143210232e-06,1.2731215495185282e-06,4.61516269815281e-07,7.671205258730225e-07,1.1543274966375328e-06
