,12_1,12_2,12_3,12_4,12_5,12_6,12_7,12_8,12_9,12_10,12_11,12_12
3-5A-rep2,0.03387208331488342,2.191113434020517e-06,3.142519087460988e-07,0.00031572044377013367,0.8142336661780301,1.7146250172477333e-06,2.5303382331632025e-07,0.12648835986520937,6.87315463631931e-07,1.2238693203293225e-06,1.3375679733789235e-06,0.025082448421166473
3-5B-rep1,3.088186910407745e-06,0.10476185634106325,6.46978654531669e-07,0.26254336530676176,0.265815425903071,0.03894363416375395,5.209434787951125e-07,0.32792324644731735,1.4150381319041625e-06,2.5196897907436596e-06,2.7537714288333346e-06,1.5272296374991536e-06
3-5B-rep2,2.1409842190518862e-06,0.07593070213043561,4.4853861816052967e-07,0.28824181881876915,0.279286203082961,0.04306475297647086,3.6116070674331864e-07,0.3134678764912696,9.81020384340489e-07,1.7468554318093567e-06,1.9091400044920507e-06,1.0588007292351032e-06
3-6A-rep2,3.4076640473734832e-06,0.44556975331480925,7.139094764748371e-07,1.6672110372105585e-05,0.15063091434214057,0.4037677825637087,5.748357903535668e-07,1.1156023258188846e-06,1.5614257516283844e-06,2.780355127312391e-06,3.038652829300629e-06,1.6852236210993985e-06
3-6C-rep2,2.5628859542274382e-06,0.6281535321225615,5.36927509405592e-07,0.12102336081820794,0.21348707276283158,0.037324844880921665,4.3233093186516114e-07,8.390385588474986e-07,1.1743399794653557e-06,2.0910902613904825e-06,2.2853545853472764e-06,1.2674476967812961e-06
3-7A-rep2,0.06492861530048176,0.07431708792999026,7.971168882841786e-07,0.10926960156243522,0.12060176029764921,0.07614107476644381,6.418339181370455e-07,1.2456277494877677e-06,1.7434126838750152e-06,0.5547321576991565,3.3928131894652136e-06,1.881639413930788e-06
3-7B-rep2,3.5429378734108733e-06,5.1753157172955175e-06,7.422494962022914e-07,0.023204230042470055,0.036912701587501526,0.0387298082790494,5.976550106826039e-07,1.159888321401709e-06,1.623409571793662e-06,0.9011355072351105,3.159278040150173e-06,1.7521218375272795e-06
3-7C-rep2,2.1601589935802717e-06,0.394069618764341,4.5255575513611674e-07,0.5506969862274631,4.818894840688152e-06,0.05521914498106605,3.6439528225241893e-07,7.071936563800025e-07,9.898064578248649e-07,1.7625003668539798e-06,1.926238369255088e-06,1.0682834078428715e-06
3-8A-rep1,2.4319696839113973e-06,0.2224959265118277,5.095004025358873e-07,0.6720721968369057,0.004755262450120933,0.0889997295554771,4.102467837005946e-07,0.011667062982382584,1.1143528349180034e-06,1.984274061682541e-06,2.168615056547792e-06,1.2027044626902256e-06
3-8A-rep2,1.8317777471250249e-06,0.21729558480127267,3.8375951217263735e-07,0.7420811930196641,0.00012961661685419887,0.04048560812391447,3.0900094445410067e-07,5.996880815322875e-07,8.393388860692937e-07,1.494570057527037e-06,1.6334170729774802e-06,9.058859926167479e-07
3-8B-rep1,1.9840791641368725e-06,2.89822640119586e-06,4.1566683148984207e-07,9.707173697765478e-06,0.1184999908862149,2.267966329803332e-06,3.3469253382525744e-07,6.495485761942799e-07,9.091249187373575e-07,0.8814780922043303,1.7692259805680774e-06,9.812050211087443e-07
