,7_1,7_2,7_3,7_4,7_5,7_6,7_7
3-1A-rep1,1.9322545012414924e-05,0.058717973731928115,0.6605765921426116,0.21883385631398547,5.954836852591711e-06,8.292185773365183e-06,0.0618380082438364
3-1A-rep2,0.22683903973873146,0.09465142420237099,4.3763820629955463e-07,0.6007942061349314,0.00019567582854568294,6.858943755699215e-05,0.07745062701965708
3-1B-rep1,1.431727787741703e-05,0.03423735960529036,0.7896822193757761,0.09092565317733654,0.012662137653619747,9.528310812226441e-05,0.07238302980197758
3-1B-rep2,0.17168760654314932,0.22430766868589513,3.9397916067474963e-07,0.33186394061352276,0.0699565792983495,3.981662979081811e-06,0.2021798292169435
3-1C-rep1,1.594148882280695e-05,8.927406026771857e-06,0.873014196052498,0.09568256663637727,4.91286034351256e-06,0.00010609241617984283,0.031167363139751804
3-1C-rep2,0.36834987994274115,0.04192519160703681,5.740819058960043e-07,0.40992103648061734,0.06439569198347908,5.801831416037499e-06,0.11540182407280375
3-2A-rep1,2.193796330718553e-05,1.2285496544304773e-05,0.6205068267830839,6.0740602945229905e-06,0.05300176137520237,0.3160672269411265,0.010383887380441156
3-2A-rep2,0.10713732985522886,0.052069935576831,3.7183421178983344e-07,2.424480468283314e-06,0.09944418340357819,0.7095056673981184,0.03184008745156349
3-2B-rep2,0.3059604085747623,7.014854739557254e-06,5.31907021100048e-07,3.468207450283591e-06,0.0613026203600819,0.6327240014020522,1.9546938926664404e-06
3-2C-rep2,0.14808680562479998,0.1725945656383053,6.124349821820217e-07,0.11350520129193004,0.008355403932608117,0.5560184363008762,0.0014389747764980733
3-3A-rep2,0.46681076551327566,0.0645231834886263,2.5290107087231885e-07,0.46866047737680355,1.8354508483769782e-06,2.5558885641003763e-06,9.293808110683719e-07
3-3B-rep1,1.895764360851046e-05,0.02975409545146823,0.6540032532238763,0.1118973840445133,0.2043152157559824,8.135589930105743e-06,2.9582906211025294e-06
3-3B-rep2,0.05256850923386948,0.24027653076906846,4.985472720206217e-07,0.3057681504143622,0.4013794404771765,5.038457396901504e-06,1.832100854410278e-06
3-3C-rep1,0.02235800423555827,0.014125893783365763,0.6317325984416451,5.4582631226509395e-06,6.075432700579781e-06,0.3317688935473527,3.0762962548678664e-06
3-3C-rep2,0.15860151469257291,0.03895691957559985,2.919489186851613e-07,1.903602273931374e-06,2.118843896687006e-06,0.8024361784598146,1.0728769233845415e-06
3-4A-rep1,1.860842453659058e-05,0.00012627637059366397,0.9168808352808703,5.15219626538034e-06,5.734758652546279e-06,0.08296048917318175,2.9037958997909137e-06
3-4A-rep2,0.4009409175381627,6.94713042646868e-06,5.26771770411555e-07,3.434723939086329e-06,0.011357414169637052,0.5876888238435961,1.9358224682258507e-06
3-4A2-rep1,0.36093445010814773,0.008766128722497856,4.4257959807484437e-07,0.010255671872654427,0.010775126578514004,0.609266553712158,1.6264264299172417e-06
3-4B-rep1,0.2372845332296425,0.16185396666896643,8.243662007054562e-07,0.5672418531221849,0.033607461892928854,8.331274113416853e-06,3.02944596314419e-06
3-4B-rep2,0.3051017084071925,0.1340388328009456,8.068128943293503e-07,0.5464096922324466,0.01443784093131622,8.153875516906006e-06,2.9649396877832876e-06
3-4B2-rep1,0.1523282295386446,0.18355610484599771,6.26556699356968e-07,0.6178933664060697,0.046121172189659054,9.819794293061381e-05,2.302519998907752e-06
3-4C-rep2,0.12681703031645747,9.153624564803037e-06,0.598996545739817,0.06167484267587038,5.03735116213646e-06,0.21249483962861526,2.5506635129142096e-06
3-4C2-rep1,0.308852972916664,0.08192959986044455,4.779687326269056e-07,0.09391006014743204,3.4688983829595403e-06,0.5153016637311297,1.756477214042262e-06
3-5A-rep1,1.0793145130993132e-05,0.9198763713793439,4.583122505092514e-07,0.005983590223815037,0.04905770119663598,0.025069401500801055,1.6842420225096827e-06
3-5A-rep2,8.255238638254056e-06,0.9268440162145032,3.5054443842552206e-07,0.011772164277896595,0.04733904280983772,0.014034882706322768,1.288208362960624e-06
3-5B-rep1,0.26011055850627457,0.324861933437203,7.216960108358947e-07,4.705693631275083e-06,0.3824210781795099,0.03259835034192245,2.6521454479490964e-06
3-5B-rep2,0.2903698409488371,0.3347473309764227,5.00339364913589e-07,3.2623760248073047e-06,0.34193362334407656,0.03294360332869507,1.8386865787831759e-06
3-6A-rep2,1.8753998989260043e-05,0.2693799602717127,7.963561481383611e-07,5.192502103733478e-06,0.6834125575484842,0.04717981281015023,2.9265124117634715e-06
3-6C-rep2,0.13446041414980797,0.2213042408177837,5.989358016520546e-07,3.905256985018285e-06,0.35399067798524864,0.2902379618378285,2.2010165445218706e-06
3-7A-rep2,0.07263732316992604,0.23506978614525725,8.89172453337903e-07,0.4486107800508602,0.056326520776131844,0.18735143308427735,3.2676010940263883e-06
3-7B-rep2,1.9498472234352034e-05,0.08668827742396293,8.279689175638604e-07,0.913273976710962,6.009054239788485e-06,8.367684172046994e-06,3.0426855113373404e-06
3-7C-rep2,0.6498794370907927,6.657633349994959e-06,5.048204209850338e-07,3.2915939735006346e-06,0.0985940481565105,0.2515142055510351,1.8551539172240822e-06
3-8A-rep1,0.7381526568996133,0.0011741187250087276,5.683412998843245e-07,3.7057708440963033e-06,0.1284160257863818,0.13225083589139686,2.0885854552858707e-06
