,13_1,13_2,13_3,13_4,13_5,13_6,13_7,13_8,13_9,13_10,13_11,13_12,13_13
1-7C-rep2,1.7360741957730674e-06,9.63476016856127e-07,3.36438144223706e-07,0.07315984113983988,0.534082149522959,6.973057061736089e-07,8.799523497284463e-07,0.3927487511993885,4.947140053737627e-07,1.3237201043684212e-06,4.1674885151905055e-07,6.694520822770896e-07,1.740256356373018e-06
1-8A-rep1,4.95904877139627e-07,2.752143064676194e-07,9.610264180100162e-08,0.9999950894475366,7.535195257516569e-07,1.9918348040119455e-07,2.513559978849269e-07,1.5124710256340532e-06,1.41313711505794e-07,3.7811705128867846e-07,1.1904317713714249e-07,1.9122716841295836e-07,4.970994999521464e-07
1-8A-rep2,8.092210425463544e-07,4.4909662774034953e-07,1.568209621938623e-07,0.9999919869261887,1.229598425659575e-06,3.250289946692401e-07,4.101644731383631e-07,2.4680607846495012e-06,2.3059670154971243e-07,6.170140455429034e-07,1.9425548800123107e-07,3.1204582918984163e-07,8.111704363965875e-07
1-8B-rep1,2.7771197501018882e-06,7.268311910983675e-05,5.381849561995409e-07,0.9997590747172765,0.00014650356880674474,1.1154485523651e-06,1.4076201671157535e-06,8.469997675708577e-06,7.913717272686635e-07,2.1174954701815085e-06,6.666543798667925e-07,1.0708923639122855e-06,2.7838097641741552e-06
1-8B-rep2,7.653823792925904e-07,4.2476731004248156e-07,1.4832535840788665e-07,0.9999336002827693,1.1629862783157166e-06,3.074209050424827e-07,3.8794426225507997e-07,6.115509920871669e-05,2.181043779259264e-07,5.835879857357049e-07,1.8373190979955107e-07,2.9514108832627043e-07,7.67226166867089e-07
1-8C-rep1,5.149631691377859e-06,2.8579116274897813e-06,9.979599569540638e-07,0.7934959579920362,7.824782954877445e-06,2.068383696867998e-06,2.6101594725023786e-06,0.19499181258885442,0.010818815715484995,3.92648598577562e-06,1.23618166686256e-06,0.0005296612882059293,0.00013708091836581794
1-8C-rep2,5.11830077789564e-05,1.067178083645146e-06,0.8796375186036314,0.12029455268747732,2.9218667219811274e-06,7.723589941111101e-07,9.7466449174985e-07,5.864796606766745e-06,5.479616876504186e-07,1.4661964175008526e-06,4.616048899448925e-07,7.415073938092639e-07,1.927565825151999e-06
1-9A-rep1,2.4921990510798317e-06,1.383105641909378e-06,4.829694639911468e-07,1.8810198273567407e-06,0.001025275399730813,1.0010082653550259e-06,0.05101184732790645,0.8807222543097095,0.06722742492646011,1.9002494225387953e-06,5.982584700718355e-07,9.610233527210766e-07,2.498202698103696e-06
1-9A-rep2,1.0345574082845591e-06,5.741524488814526e-07,2.0048945798722164e-07,7.808457340832695e-07,1.5719934277515716e-06,4.155368393340845e-07,0.04531964732069739,0.9046364550176386,0.05003684692202108,7.888282907515611e-07,2.4834803304079166e-07,3.989383707779154e-07,1.0370496319705337e-06
1-9B-rep2,1.6786639793212125e-06,9.316148401802934e-07,3.2531247532685193e-07,0.013074052819723923,0.4277492632442757,6.742465122624211e-07,8.508532161843683e-07,0.4349332640222301,0.1242349462875183,1.2799460203468436e-06,4.0296738882003463e-07,6.47313979515555e-07,1.6827078401031805e-06
1-9C-rep1,4.072898179433227e-06,2.2603525382355514e-06,7.892970867471742e-07,3.0740731672293957e-06,0.12270537025745099,1.635906545986202e-06,2.0644027380414217e-06,0.5594622617241839,0.3178087346091066,3.1054993019814703e-06,9.777091571117984e-07,1.5705608514675213e-06,4.082709692290862e-06
1-9C-rep2,1.2772247219696573e-06,7.088264952901561e-07,2.4751656136721933e-07,9.640020627462185e-07,0.10021979592164178,5.130057740987592e-07,6.473783770099725e-07,0.6184229881935706,0.2813498046573915,9.73857019696526e-07,3.0660091447046146e-07,4.925139442428136e-07,1.2803015253243238e-06
2-10A-rep1,0.08075789725149667,1.0713472807265779e-06,3.741059296140087e-07,1.4570293229730463e-06,0.9188307736045455,7.753764069622687e-07,9.784722614338925e-07,5.887708895981499e-06,5.50102436513144e-07,1.4719244791227431e-06,4.634082644607553e-07,0.00039636457233869235,1.935096341319499e-06
2-10A-rep2,0.05337658624303543,1.1471369782558068e-06,4.005710877932572e-07,0.0009017256060329363,0.7784344971776415,8.302284091208184e-07,1.047691755494233e-06,0.16727823502921196,5.890180132112504e-07,1.576051976401612e-06,4.96190885771192e-07,7.970652359944258e-07,2.0719897362409464e-06
2-10C-rep1,0.15998180368185558,2.6721410409084894e-06,9.330903490890949e-07,3.634104385912033e-06,7.316154729491889e-06,1.9339341747251994e-06,2.4404933248113874e-06,0.8309822821683555,1.3720586440594883e-06,3.6712556988190414e-06,0.009005257740379285,1.8566838745103758e-06,4.826493187386328e-06
2-10C-rep2,4.938346183289274e-07,2.5575335173747787e-05,0.9048241065416966,3.7272813666684346e-07,7.503738006153778e-07,1.983519472297023e-07,2.5030665960810864e-07,0.09514693126636604,1.4072376780932345e-07,3.765385224356829e-07,1.1854620645247537e-07,1.9042885053285292e-07,4.950242539382207e-07
2-11B-rep1,0.00012999437705823568,3.5031796572498186e-07,1.2232824088483407e-07,4.7643145934845753e-07,9.591486386861629e-07,2.535389695243841e-07,3.1994892628221917e-07,0.9007736667854817,1.7987702957433735e-07,4.813020002975875e-07,1.5152905451530016e-07,2.4341144720853347e-07,0.09909280100372803
2-11B-rep2,6.146174397302709e-05,1.2814922177666717e-06,4.4748686634606876e-07,1.742825853052525e-06,3.5086453919487415e-06,9.274666107222994e-07,1.17039974888227e-06,0.9063438042267121,6.580051156595894e-07,1.760642696415688e-06,5.543058681704697e-07,8.904192928487719e-07,0.09358179233965304
2-11C-rep2,0.09040239777923703,1.6320235134174099e-06,5.698896003403038e-07,2.2195474405068605e-06,4.46837811460404e-06,1.181159975552768e-06,0.02109469719049338,0.7106993672094127,8.379916833025351e-07,2.2422377907879037e-06,7.059271979474246e-07,1.133978968098804e-06,0.1777885466865724
2-12A-rep2,2.8501142553334275e-06,1.5817392695539296e-06,5.523307432508201e-07,7.516296200306346e-05,0.6673321917918097,1.1447672791460175e-06,0.29380093181986544,0.03877795895322391,8.121723382916795e-07,2.1731522470166644e-06,6.841768891561488e-07,1.099039964770024e-06,2.856980111397088e-06
2-12B-rep2,2.7765271679317007e-06,1.5409003503219733e-06,5.380701182242266e-07,0.027954892503285447,0.683318518267429,1.115210537809239e-06,0.2120301287154868,8.468190346512934e-06,7.91202864267508e-07,2.1170436387251812e-06,6.665121290692991e-07,1.0706638567616587e-06,0.07667737619278928
2-12C-rep2,3.005474300110804e-06,1.667960052908204e-06,5.824383534432158e-07,2.2684210342950068e-06,0.07507145709065174,1.207168670744613e-06,0.32690820675038595,0.293193492964375,8.564439427046683e-07,2.2916110174932424e-06,7.214714474132564e-07,1.1589487553805331e-06,0.30481308325701284
2-1A-rep1,5.3478730991088226e-06,2.967930451778295e-06,1.036377653321932e-06,0.02055362552388331,0.30469003442298576,0.013838871367464249,2.7106407727665403e-06,0.5871865711463041,1.5239370111786132e-06,4.0776408946906275e-06,1.2837700010458292e-06,2.0622072436010195e-06,0.07370988716223506
2-1A-rep2,3.4416257068279464e-06,1.9100127377031105e-06,6.669612213216434e-07,2.5976120126035045e-06,0.207985610225996,0.018427791666202804,1.7444338698096436e-06,0.7222552101041103,9.807302260281509e-07,2.6241673028327414e-06,8.261706580117112e-07,0.0010593027886497582,0.05025729350130614
2-1B-rep1,3.899573252392787e-06,2.16416171255921e-06,7.557080172574176e-07,2.943253911762235e-06,0.6131672559332774,1.5662894403684292e-06,1.976550688176795e-06,0.3321659214518098,1.1112275659857801e-06,0.013888510154771936,9.361020849834316e-07,1.5037245759210846e-06,0.040761455868891516
2-1B-rep2,2.037024635694125e-06,1.1304956821631862e-06,3.947600798626732e-07,1.537470984468348e-06,0.6118459939231464,0.01816041978329252,1.0324930921720146e-06,0.3399769151117995,5.804732418826867e-07,0.008663891882195908,4.889927397737253e-07,7.855023635138564e-07,0.02134479208674612
2-1C-rep1,3.084313164676546e-06,1.7117135718477771e-06,5.977167334524247e-07,2.3279256983988628e-06,0.8747388918841524,0.04740802441803976,1.5633252444875789e-06,0.03343119074969204,8.789099701149025e-07,2.3517239955476053e-06,7.403969094371927e-07,1.1893500148292374e-06,0.04440744757281309
2-1C-rep2,1.5996920345951478e-06,8.877874652136553e-07,3.1000830538177474e-07,1.207388484252228e-06,0.8427058741789939,0.026514410661839027,8.108252332251601e-07,0.08917637733045598,4.5585036384154443e-07,1.219731571465865e-06,3.8400998057852916e-07,6.168614026803851e-07,0.04159584567386981
2-2A-rep1,0.7128935894033825,2.3248757119785162e-06,8.118280646373572e-07,3.161824504117119e-06,0.031771420681129973,1.6826045192042726e-06,2.1233324024583173e-06,0.2553136772883678,1.1937490454843553e-06,3.194147717496699e-06,1.0056184751262606e-06,1.6153934910575576e-06,4.1992531882109305e-06
2-2A-rep2,0.6190847559099795,1.6227328825536019e-06,5.666453861078764e-07,0.006668665840431083,0.04771831189912779,1.1744359784818025e-06,1.4820582847968133e-06,0.32651559732729724,8.332212425996299e-07,2.229473389140608e-06,7.019085615987863e-07,1.1275235586556722e-06,2.9310238803599727e-06
2-2B-rep1,0.8303590606616035,2.764549384370131e-06,9.653586059435508e-07,3.759779476084161e-06,7.5691629834392725e-06,2.00081374833837e-06,2.52489079557451e-06,0.16794910533926097,1.419507361956002e-06,3.798215560726869e-06,1.1957980901936592e-06,1.920891967776708e-06,0.0016639150311612329
2-2B-rep2,0.8207300771896813,1.5269982243313522e-06,5.332156066565068e-07,2.0767133393661666e-06,0.0001451508230000917,1.1051490192954346e-06,1.394622857262245e-06,0.16860850885462197,7.840645688541228e-07,2.0979435019856118e-06,6.604988034245471e-07,1.0610042419610037e-06,0.010505022922533547
2-2C-rep1,0.19620834938257087,2.1478549996490417e-06,0.0002981797448064627,2.9210768275442167e-06,0.002484461783762401,1.5544876271813212e-06,1.9616576030448252e-06,0.800791782774566,1.1028545923806946e-06,0.00020123742619535486,9.290486620040632e-07,1.492394181887585e-06,3.879513605230683e-06
