,11_1,11_2,11_3,11_4,11_5,11_6,11_7,11_8,11_9,11_10,11_11
1-8A-rep1,9.288556179239883e-08,4.189914447799613e-07,2.4422231733392155e-07,0.9984591007086145,1.924317667981558e-07,3.4644220866553167e-07,6.567808742558904e-07,9.715396788388424e-07,1.0326090452085468e-07,0.0015374789706884022,3.9376594008109335e-07
1-8A-rep2,1.5157124657964047e-07,6.837128867610546e-07,3.9852352041111587e-07,0.9981696379619702,3.140113728364831e-07,5.653265849067157e-07,1.071739180122802e-06,1.5853645860732416e-06,1.6850179639488367e-07,0.0018247807371068417,6.425497488198371e-07
1-8B-rep1,5.201674191912166e-07,2.346389409599576e-06,1.367666729522652e-06,0.9985561315573777,1.0776350336290266e-06,1.9401072255257827e-06,3.678031394151452e-06,0.0002900072368270607,5.782702625841161e-07,0.0011401478139844597,2.2051243364945347e-06
1-8B-rep2,1.4336004858740514e-07,6.466735273196981e-07,3.769339669535681e-07,0.9999942024557698,2.9700016779358464e-07,5.347006672363468e-07,1.013678942428575e-06,1.4994792826276068e-06,1.593734053347843e-07,5.186038669042656e-07,6.077403550431058e-07
1-8C-rep1,9.64546930972765e-07,4.3509120725308295e-06,2.5360656932449947e-06,0.9642112167369195,1.998259648810318e-06,0.015174166929658301,0.00013873817171727813,0.00014200670595552385,1.0722870877141288e-06,0.020318860420200646,4.0889641156038656e-06
1-8C-rep2,0.8311635069828575,1.6246889924350113e-06,9.470009844419841e-07,0.16877302761290047,7.461769857281276e-07,1.3433707297516686e-06,5.1806696311494586e-05,3.7672602665008027e-06,4.0040639734785084e-07,1.3029294665669033e-06,1.5268741078509322e-06
1-9A-rep1,4.6680062339917387e-07,2.1056605983537472e-06,1.227350384489947e-06,0.6764895216329999,9.670746127794262e-07,1.741061106335376e-06,3.3006822117793677e-06,0.32317726912738093,5.189423810648912e-07,0.0003209027790258645,1.978888675013192e-06
1-9A-rep2,0.00047723653307151507,8.740998897854678e-07,5.094965621000718e-07,0.7268321814199663,4.0145112327490505e-07,7.227476841934272e-07,1.370176162192927e-06,0.272684966188355,2.1542288365393274e-07,7.009898561677643e-07,8.214744456343517e-07
1-9B-rep2,0.0021934414495188067,1.4183057933728753e-06,8.267040577106689e-07,0.28919911526607467,6.513906025506883e-07,1.172723208888579e-06,2.2232342224143236e-06,0.7037820520856658,3.495430299006809e-07,0.004817416381555259,1.3329162707444404e-06
1-9C-rep1,0.004069846750962314,3.441187219818439e-06,2.005804003099129e-06,0.21453162490769864,1.580446915665916e-06,2.8453385283119204e-06,5.394157753978664e-06,0.7813764196314621,8.480843925838833e-07,2.7596815449306563e-06,3.2340095185438903e-06
1-9C-rep2,0.0039592141779991995,1.079129709148222e-06,6.290046289858373e-07,0.3465958650793824,4.95615934699638e-07,8.922761658540262e-07,1.6915661707176003e-06,0.6494379876221181,2.6595270917880463e-07,8.654147980591014e-07,1.014160383669268e-06
2-10A-rep1,3.615818850316359e-07,1.631036228798099e-06,0.00464947596279723,8.469749762811172e-06,0.00014910628132150806,0.03803024145483875,2.556695163204628e-06,0.9571549144084426,4.0197068076276473e-07,1.3080196723399707e-06,1.5328392069587211e-06
2-10A-rep2,3.871609930002107e-07,1.746419364746498e-06,0.017262968676166137,0.17532906535004808,8.020845487792027e-07,0.007891108616490918,0.0011147037122012653,0.7983957457456407,4.3040698210715497e-07,1.4005518975671185e-06,1.6412756668489372e-06
2-10C-rep1,9.018496378303281e-07,4.068094927103474e-06,2.371216841320807e-06,0.7704220444829692,1.8683691614186774e-06,0.05304089096929239,0.16405268214078547,9.432926825128e-06,0.010238478781127429,0.002223437994372103,3.823174060633321e-06
2-10C-rep2,0.8803951598738482,4.172422783348472e-07,2.432027607583622e-07,0.11960119197203622,1.916284205875091e-07,3.4499591401174176e-07,6.540390066560773e-07,9.674837855085757e-07,1.0282982051775561e-07,3.346100463973739e-07,3.9212208272266837e-07
2-11B-rep1,1.1823322603566323e-07,5.333305762675831e-07,3.1086846966411934e-07,0.40890316019174433,2.4494472705175855e-07,0.49445831048799255,8.360106787678585e-07,0.09663542556364466,1.3143990981233798e-07,4.2770778067417565e-07,5.012212501099734e-07
2-11B-rep2,4.325060147001284e-07,1.9509632765127936e-06,1.1371801939143612e-06,0.41969685236303333,8.960261956060612e-07,0.47647469840356504,3.058189808773134e-06,0.10381709545874271,4.808170551679873e-07,1.5645871628320964e-06,1.8335049514989316e-06
