,16_1,16_2,16_3,16_4,16_5,16_6,16_7,16_8,16_9,16_10,16_11,16_12,16_13,16_14,16_15,16_16
1-8A-rep2,2.737440233088639e-07,1.3273798518661576e-07,2.6537794554428005e-07,1.0121056338927484e-06,7.943866675513569e-07,3.3798708150467226e-07,3.483709989246525e-07,5.081994983930967e-07,0.41165476656588224,4.2038842309745386e-07,0.5883390843814418,7.264414384491203e-07,1.3345944955486798e-07,1.5482133262725944e-07,8.135648816043056e-07,2.2746731627274563e-07
1-8B-rep1,9.394438552151702e-07,4.555346379069992e-07,9.107328709416514e-07,3.473377818796782e-06,2.7262026197881698e-06,1.1599153217070143e-06,1.195551195306547e-06,1.744055962274473e-06,0.2272269197480764,1.442702989854501e-06,0.772751977728179,2.4930259198926497e-06,4.580105833516474e-07,5.313210050573304e-07,2.7920190534339757e-06,7.806299109354734e-07
1-8B-rep2,2.589142574824733e-07,1.2554705837553653e-07,2.510014023038459e-07,9.572759818668295e-07,7.513516886941147e-07,3.196770223096843e-07,3.2949840301438755e-07,4.806683783958013e-07,0.21330356014770055,3.97614366534302e-07,0.7866906239174396,6.870873137870754e-07,1.262294382461477e-07,1.4643406601212152e-07,7.694909451839509e-07,2.151445375223352e-07
1-8C-rep1,1.7420109407373258e-06,8.446979760563284e-07,1.6887721564862418e-06,6.440685228892683e-06,0.017682051573824766,2.1508312279925224e-06,2.2169108359951743e-06,3.2340033421629394e-06,0.14365978110750782,2.6752044612451777e-06,0.8142192836733189,4.622818494033407e-06,8.492891222214795e-07,9.852286527984472e-07,0.024409985670699824,1.4475222100472788e-06
1-8C-rep2,6.504906209848655e-07,3.154217336642969e-07,6.306105335421834e-07,2.405039621816126e-06,1.8876798493406517e-06,8.031496866135143e-07,8.278247126072592e-07,5.046755601752345e-05,0.022709280451445026,9.989577967405305e-07,0.04049992183162274,1.7262234137354628e-06,0.9366779831529934,3.6789780315598004e-07,1.9332525278520927e-06,4.980045962115077e-05
1-9A-rep1,8.430612559513719e-07,4.0879888865233665e-07,8.172958860180204e-07,0.23673222022381818,0.0517151146812594,1.0409133685712188e-06,1.0728931661790974e-06,1.5651238781777203e-06,0.0005113260964441622,1.2946883284610518e-06,0.7110279650283031,2.2372529784258704e-06,4.110208135333654e-07,4.7680992467014746e-07,2.505570797830259e-06,7.005408886257842e-07
1-9A-rep2,3.4997089627166334e-07,1.6970025896287937e-07,3.392751970627483e-07,0.1797668750695353,0.057537662597472956,4.3210310279166477e-07,4.453785301137113e-07,6.497129390721671e-07,2.423028734190081e-07,5.374499557480686e-07,0.7619741042270168,9.287266192331252e-07,1.7062262259490802e-07,0.0007157619445290671,1.0401104920890125e-06,2.9080795842129725e-07
1-9B-rep2,5.678592379747702e-07,2.7535392447027447e-07,5.505045045752615e-07,0.6115403521347781,0.0720308000665397,7.011261258917321e-07,0.003870945768768391,1.0542176461367144e-06,3.93158192651564e-07,8.720608644090372e-07,0.3098830695651006,1.5069424226499852e-06,2.7685054237421826e-07,0.0026664748565303673,1.6876727686200258e-06,4.718620531746414e-07
1-9C-rep1,1.3777770599177143e-06,6.680816215061992e-07,1.3356698756723587e-06,0.6933139232802615,0.043094524399107347,1.701117861193493e-06,1.7533810048427941e-06,2.557811499532475e-06,9.539060079147661e-07,2.1158508543769895e-06,0.2587693128707977,3.656241831952412e-06,6.71712813318575e-07,0.004800208295398198,4.0947415657888755e-06,1.1448624391993747e-06
1-9C-rep2,4.3206043257321006e-07,2.0950532766122504e-07,4.188559390678713e-07,0.5925062447537108,0.03186935952997394,5.334576546144341e-07,5.498469799339465e-07,8.021102797245981e-07,2.991376866431878e-07,6.635147746306037e-07,0.36897532729531873,1.146569698003225e-06,2.1064404186314757e-07,0.006642159618119478,1.284079887566067e-06,3.5902017467676836e-07
