,6_1,6_2,6_3,6_4,6_5,6_6
2-7A-rep1,0.934946021481455,1.7731291161194663e-06,1.3936507550996133e-06,0.049582941332091776,0.015463460733411977,4.409673170057692e-06
2-7A-rep2,0.9196917476891733,1.0236165203192345e-06,8.045459992205234e-07,0.06212588418732526,0.01817799428381442,2.545677167581641e-06
2-7B-rep1,0.9034914196741202,1.619120346047656e-06,1.272602357241101e-06,0.0001231879968211274,0.0599006019985722,0.036481898607783274
2-7B-rep2,0.9449218767274208,9.161060113111577e-07,7.200444811426066e-07,1.0561806175949984e-05,0.0252578179365254,0.029808107379385506
2-7C-rep2,0.4964544685124656,8.122532989447504e-07,6.384179319574344e-07,0.46856329058118207,5.01587507976961e-06,0.034975774360041643
2-8A-rep2,0.0001281106956139434,9.433876023173437e-07,0.925615172249954,0.07424760185104297,5.8256634613546005e-06,2.346152325335545e-06
2-8B-rep2,0.19319164649818002,7.214625766159685e-07,5.670578952972384e-07,0.8025160548145063,5.102870477703801e-05,0.004239981462064793
2-8C-rep1,1.216304131666907e-05,1.8180793423617515e-06,1.4289809045934971e-06,0.9999688413244304,1.1227112131454112e-05,4.521461874471067e-06
2-8C-rep2,0.015164373536079719,8.538925182200459e-07,6.711456836238077e-07,0.9809130141886508,0.00391896365402259,2.123583045068128e-06
2-9A-rep1,0.950261243823233,0.007058131927230927,9.54687362300957e-07,1.4003611086985946e-05,0.042662645209174316,3.0207419125107644e-06
2-9A-rep2,0.9516454006267892,4.712983471905317e-07,3.704328644023179e-07,3.585792707579315e-05,0.04825587898591979,6.202072900372957e-05
2-9B-rep1,0.775195487298111,1.7211198949639803e-06,1.3527723499814818e-06,0.22478653011814342,1.0628362361422344e-05,4.280329139191587e-06
2-9B-rep2,0.6698181068850487,6.383647854854741e-07,5.017443779096412e-07,0.33017522335984084,3.942068346757014e-06,1.5875776003416926e-06
2-9C-rep1,0.9999717787467598,1.2841144922527912e-06,1.0092931842882685e-06,1.4804583975484744e-05,7.929740500444427e-06,3.1935210878280284e-06
2-9C-rep2,0.999991863826752,3.7020956831407203e-07,2.909787221559821e-07,4.2681541838363455e-06,2.286140235332091e-06,9.20690538467934e-07
3-10A-rep2,0.17021161539777757,1.2286086428525016e-06,0.3144727573352121,0.13381338597868794,0.38149795719854196,3.055481137631176e-06
3-10B-rep1,0.334229161517183,0.011979671678321308,1.568116372984865e-06,0.16938477252410056,0.4843998644613342,4.9617026878339314e-06
3-10B-rep2,0.30710204707645733,1.3291790893906003e-06,1.0447132274528722e-06,0.19324633408566097,0.49964593935133866,3.3055942262766026e-06
3-10C-rep1,0.15788695728363122,0.403473901121643,1.3202088061865794e-06,0.23704980754573413,0.20158383654588838,4.177294297163237e-06
3-10C-rep2,0.15746445973381956,0.39824361671624425,9.917816437434605e-07,0.25717370385845617,0.18711408979730057,3.1381125357038652e-06
3-11A-rep2,0.06416226942087157,1.6080275383299323e-06,1.2638835901127298e-06,0.08389300727315031,0.8519378523200909,3.9990747588680755e-06
3-11B-rep2,0.08298913939766284,1.4475470089645384e-06,1.1377484943119579e-06,1.6688801023560514e-05,0.592919573520496,0.32407201298531446
3-12A-rep2,0.4304351159328948,0.007954437993645,1.3583109172703411e-07,0.051777230396345415,0.5098326500606419,4.297853810623705e-07
3-12B-rep2,0.1725980710609988,1.5391653276097385e-06,1.2097590082672412e-06,0.3577126133987555,0.45348711003721354,0.01619945657869632
3-12C-rep2,0.09905961194800121,4.008556401422578e-07,3.150660380518824e-07,0.44043015754156173,0.30296970078638824,0.15753981380237067
3-1A-rep1,0.05258424962687204,1.8635726412724812e-06,0.721209323977165,0.05439779082034153,0.17180213740181,4.634601170307063e-06
3-1A-rep2,0.11370977529990182,9.93993965398862e-07,7.812631510300282e-07,0.2988350800552797,0.5874508973801756,2.4720075264520634e-06
3-1B-rep1,0.05893006461480568,1.3808370625320127e-06,0.8392440260335984,0.0015312813566995078,0.08157063969419562,0.018722607463638345
3-1B-rep2,0.2562526623433084,8.948325337870007e-07,7.033238725046857e-07,0.3594257397308009,0.3843177743709052,2.2253985793042605e-06
3-1C-rep1,1.0285850683958428e-05,1.5374849234043025e-06,0.8769848857650642,0.004384778866323905,0.1186146883937927,3.823639211870773e-06
3-1C-rep2,0.07483757581152699,1.303894304396126e-06,1.0248397961388571e-06,0.4477255697213213,0.4774312830206743,3.242712376902415e-06
3-2A-rep1,0.049184782479717484,2.1158180271984564e-06,0.5819906741045665,0.03102920568508671,0.33778795999123246,5.261921369652138e-06
3-2A-rep2,0.16067126178255584,8.445354011742783e-07,6.637911412400421e-07,0.12703751932430063,0.7122876102541841,2.100312417108381e-06
3-2B-rep2,0.03525877217259391,1.2081037962000568e-06,9.495500087989525e-07,0.2877905780864276,0.6769454876004453,3.0044867281900186e-06
3-2C-rep2,0.16415505895572088,1.391004458723651e-06,1.0933069659866392e-06,0.154553696126246,0.6812853012561385,3.4593504699130038e-06
3-3A-rep2,0.017283297216936507,5.744062699232284e-07,4.514740210032869e-07,0.46888795500210395,3.547107901826218e-06,0.5138241747927668
3-3B-rep1,1.2231950120042191e-05,1.8283795352705632e-06,0.6379519445039242,2.1079427521671584e-05,1.1290718497836679e-05,0.36200162502040106
3-3B-rep2,0.15811647793451103,1.132334833505839e-06,8.899968318126036e-07,0.08648685578844639,6.992461687401948e-06,0.7553876514836898
3-3C-rep1,0.008113419848496744,1.9013132483622403e-06,0.5756421436571846,0.04887159584773208,0.367366210873384,4.7284599541894354e-06
3-3C-rep2,0.026757919260988906,6.630944267219233e-07,5.211814752248927e-07,0.15564870826543636,0.8175905391188346,1.649078838167046e-06
3-4A-rep1,1.2006625127948705e-05,1.7946989201367836e-06,0.8835152153972986,0.00013654659173937872,0.11632997337084498,4.463316069039988e-06
3-4A-rep2,0.01066647854663905,1.196440260633373e-06,7.817570368584721e-05,0.3980846383591005,0.591166535470148,2.975480166068372e-06
3-4A2-rep1,0.012790263115706293,1.005217194858135e-06,7.90084427534022e-07,0.35451143172134403,0.6326940099422556,2.4999190718539395e-06
3-4B-rep1,0.10311348288111431,1.8723572939886472e-06,1.4716424951017129e-06,0.2447805985853852,1.1562292579843776e-05,0.6520910122411315
3-4B-rep2,0.058331684677329576,1.8324890095678184e-06,1.440306669536334e-06,0.3144491841558925,0.0006027909965285908,0.6266130673745702
3-4B2-rep1,0.14139098260013558,1.4230786778894414e-06,1.118516782549497e-06,0.16427245238000623,8.78788043859045e-06,0.6943252355439592
3-4C-rep2,0.020058490427282423,1.5764444638860866e-06,0.5393621672692711,0.15551694812750905,0.2850568972020585,3.920529415081854e-06
3-4C2-rep1,0.10400570801430375,1.0855954361477723e-06,8.532604228118157e-07,0.2762671462295933,0.6197225070849712,2.699815272784327e-06
3-5A-rep1,0.3761801344284903,0.5613040942751074,8.181700528213249e-07,0.06250593620276092,6.4281383299770575e-06,2.5887852586231357e-06
3-5A-rep2,0.3877431869608204,0.537509086852145,6.257850529589554e-07,0.074586013163673,0.00015910718157767487,1.9800567309698746e-06
3-5B-rep1,0.24084620947332988,0.37469302615401373,1.2883576460440833e-06,0.30360251539245303,0.08085288410903743,4.076513519912098e-06
