,19_1,19_2,19_3,19_4,19_5,19_6,19_7,19_8,19_9,19_10,19_11,19_12,19_13,19_14,19_15,19_16,19_17,19_18,19_19
1-3C-rep1,6.447163866515307e-07,0.0005539045774159975,1.7332924575247253e-06,1.405490787061784e-06,4.243481652246954e-06,3.5757762304353094e-06,1.14558350216936e-06,7.384337439745064e-07,1.1456427026953954e-06,2.86999078312418e-06,1.4540725704651323e-05,1.4800104803349426e-06,0.015125132196519545,5.526418237811117e-07,0.9842806883002169,2.805415287195624e-06,4.7630849074961906e-07,1.6067941043847397e-06,1.3106217107201895e-06
1-3C-rep2,5.31779557254705e-07,1.6445247425155253e-06,1.4296666173518757e-06,1.1592869111813937e-06,3.500138729171219e-06,2.949397192366635e-06,9.449083351920262e-07,6.090801747295171e-07,9.44957165391128e-07,2.3672462179866585e-06,0.00010303978281114138,1.2207527748014785e-06,2.29003222487608e-06,4.558339611888853e-07,2.453212709435276e-06,2.3139825979742337e-06,0.03942339659612184,1.325327345667457e-06,0.9604474234938101
1-3C-rep3,3.1234987621390683e-07,9.659399139132415e-07,8.397392958509827e-07,6.809271215186544e-07,2.055866728747702e-06,1.732379207461932e-06,5.550081749181547e-07,3.5775372442530307e-07,5.550368561760874e-07,1.3904428123810318e-06,0.003162220177887612,7.17030154497635e-07,1.3450898444809909e-06,2.6774192315040036e-07,0.9968230011796245,1.3591575083662012e-06,2.307602245042503e-07,7.78453828686498e-07,6.349652926193978e-07
1-4A-rep1,4.689707885726924e-07,1.45028904327628e-06,0.008913748588615211,1.0223629124169925e-06,3.0867354668676016e-06,2.6010423083183085e-06,8.333047050014141e-07,5.371413886639541e-07,8.33347767839514e-07,0.0032940876405629102,0.035499942773434844,1.07656900992293e-06,2.019555290732287e-06,4.019951675851568e-07,0.16436128496757405,0.7864688678106196,0.0014456147585773485,1.1687922221442661e-06,9.533545446071518e-07
1-4A-rep3,3.2838318679799736e-07,1.0155228202139136e-06,0.0031493496343185357,7.158799640066172e-07,2.1613969443541793e-06,5.804392565592405e-05,5.834974400750199e-07,3.7611767143835663e-07,5.835275935778658e-07,1.4618159844486724e-06,0.08383533453641834,7.538362109128646e-07,1.4141349918698136e-06,2.814854516008878e-07,0.1638904558534739,0.7490554118747419,2.426054360176281e-07,8.184128392742197e-07,6.675588568304261e-07
1-4B-rep3,1.4320715746221286e-07,4.4286718159631213e-07,3.850063237604229e-07,3.121936166378787e-07,0.04239352706109097,7.942666888632455e-07,2.5446190042312814e-07,1.6402405714859836e-07,2.544750502968235e-07,6.374946108142142e-07,0.5275690136964771,3.287462491900479e-07,6.167010388936287e-07,1.2275516229619667e-07,6.606452128059708e-07,0.43003158856964396,1.0579967633463857e-07,3.5690796927169183e-07,2.9112089220395085e-07
1-4C-rep1,5.826529076227494e-07,1.8018502400333602e-06,1.5664374460567534e-06,1.2701915302195623e-06,3.83498383834604e-06,3.2315549299005874e-06,1.0353041620832906e-06,6.673485844653263e-07,1.0353576636839036e-06,2.5937117611090344e-06,1.3140965990894174e-05,1.3375376018562205e-06,2.5091109956578473e-06,4.994418819915058e-07,2.6879023434985575e-06,0.9999591386199294,4.304567602229566e-07,1.4521164286411693e-06,1.184455004332574e-06
1-4C-rep2,1.29474183487859e-07,4.0039805095553123e-07,3.4808581002451783e-07,2.8225554029990886e-07,8.521907205180865e-07,7.180997991619868e-07,2.3006005684280625e-07,0.8727278718931075,2.3007194569801329e-07,0.12240856441611722,2.9201190273890536e-06,2.9722084386605333e-07,5.575619604623157e-07,1.1098345005146427e-07,5.972920698868412e-07,5.633932395305101e-07,0.004854740598502726,3.2268197149262873e-07,2.632036029645324e-07
1-4C-rep3,2.575130810303875e-07,7.96357489675071e-07,6.923129151131283e-07,5.613821370601033e-07,1.6949344815655587e-06,1.4282391036422015e-06,4.5756978313110947e-07,2.949457350313309e-07,4.575934290476298e-07,1.1463337746533566e-06,9.39857093332645e-05,5.911468463330858e-07,1.1089430683102758e-06,2.2073659316658013e-07,1.187962859066812e-06,0.9998937627955765,1.9024747860203466e-07,6.417868522786894e-07,5.234894626236531e-07
1-5A-rep1,6.070576997452646e-07,1.8773218972903937e-06,1.632048686889504e-06,1.3233943201571672e-06,3.995614605211857e-06,3.36691068847474e-06,1.0786685433961813e-06,6.953009095358058e-07,1.0787242859457782e-06,0.04770868370177657,0.07297578050845478,1.3935612253588145e-06,2.614206724968091e-06,5.203613267377977e-07,2.8004868635112445e-06,0.8792893566393479,4.484867187343358e-07,1.512939260064543e-06,1.2340666646899362e-06
