,14_1,14_2,14_3,14_4,14_5,14_6,14_7,14_8,14_9,14_10,14_11,14_12,14_13,14_14
1-5C-rep3,1.2141812785741441e-06,4.4832676463946864e-07,6.228204709799835e-07,8.885343213144218e-07,3.9262572742395333e-07,0.0015906726899533215,1.7012390627306658e-06,9.508619915808221e-07,0.2804682041410918,2.754592335062333e-07,2.2190950998556864e-06,0.7179301971680393,1.8134414523193934e-06,3.9941551270211586e-07
1-6A-rep1,1.4755109794211382e-06,5.448206748589702e-07,7.568708720483639e-07,1.0797746348317458e-06,4.771310362300877e-07,0.10803655037842465,2.06739879783605e-06,1.1555171647345393e-06,0.004185083278597855,3.3474665652782815e-07,2.69671361434747e-06,0.8877007445684695,6.654790788205226e-05,4.853821951819089e-07
1-6A-rep2,1.0052657384896354e-06,3.7118636573710197e-07,5.156561806334281e-07,7.356505378986413e-07,3.25069409975068e-07,4.56842571437949e-05,1.4085189525831782e-06,7.872539290761682e-07,1.8484066570053986e-06,0.9626318222287942,1.8372711832246678e-06,0.035339131571648176,1.5014154747257954e-06,0.001973026247984433
1-6A-rep3,1.2457768320177468e-06,4.5999317105037823e-07,6.390275710431032e-07,9.116558552492334e-07,4.0284267556264046e-07,2.288374232765477e-06,1.7455088852648869e-06,9.756054227328514e-07,2.290640276773385e-06,2.826272627678939e-07,2.276840626871441e-06,0.0355365266508676,1.860631017283603e-06,0.9644480938253029
1-6B-rep1,2.610774424747034e-06,9.640076582508698e-07,0.006035430700751842,1.910557115756088e-06,8.442373686241633e-07,0.19651124693386465,3.6580628557983593e-06,2.0445762201164154e-06,4.8004946770516174e-06,5.923019359539395e-07,4.7715747516616875e-06,0.7974263676170764,3.899324300281968e-06,8.588369988989501e-07
1-6B-rep2,9.495689479335905e-07,3.506207695189514e-07,4.870862282397246e-07,6.948917888803539e-07,3.070589256321311e-07,0.18953005343231621,0.0031898119755582677,7.436360919975291e-07,1.745995608368342e-06,2.1542708586832696e-07,1.735477095981162e-06,0.8072711742311153,1.4182294871489695e-06,3.12368980544896e-07
1-6C-rep2,8.996140383226228e-07,3.3217531709849993e-07,3.96918759770359e-05,6.583349316047836e-07,2.909051740708841e-07,1.652505915844691e-06,0.00015818214352962374,7.045148951217991e-07,0.3627260654453566,2.0409390082081096e-07,1.644177141775302e-06,0.6370680346586537,1.3436192906041994e-06,2.959358776908611e-07
1-7A-rep1,3.2561994323823984e-06,1.2023257007019726e-06,1.6702840834959542e-06,2.382877255457224e-06,1.0529462884471028e-06,0.9973894615451463,4.562394238952253e-06,2.550028016323429e-06,5.98725339669465e-06,0.0017046968381116303,5.951184005273231e-06,0.0008712916697905692,4.863299353977426e-06,1.0711551797872118e-06
1-7A-rep2,9.22671387738155e-07,3.406890596895294e-07,4.732889877413317e-07,6.7520823271374e-07,2.9836115181201075e-07,0.8599233588673315,1.2927926287311869e-06,7.225718010984538e-07,1.6965384077308817e-06,0.001488937640822238,1.6863178435029337e-06,0.13857791347493795,1.3780566138841637e-06,3.035207937168861e-07
1-7B-rep2,1.2750070434206318e-06,4.7078619375566356e-07,6.540213568591456e-07,9.330464387716867e-07,4.122947509794933e-07,0.9226938257989445,0.02313162420073616,9.984964831694897e-07,2.3443865801378508e-06,2.8925867091949977e-07,2.330263142962334e-06,0.029698267275400318,0.02446615573957989,4.194246781211283e-07
