,18_1,18_2,18_3,18_4,18_5,18_6,18_7,18_8,18_9,18_10,18_11,18_12,18_13,18_14,18_15,18_16,18_17,18_18
1-3C-rep2,2.5196657445111827e-06,2.7082784560252362e-06,5.652205091272976e-07,2.367995744001419e-06,2.6039974158839246e-06,2.220673400211658e-06,2.104221433101495e-06,2.8917522067756853e-06,0.9999606833486294,8.219875289985798e-07,9.561138278932718e-07,1.0589665400991722e-05,4.0880596569933715e-06,1.0828556013219556e-06,8.930630007278757e-07,1.5861493572398972e-06,4.5475272599315095e-07,8.621993607793467e-07
1-3C-rep3,1.4799691195199498e-06,1.5907540477183836e-06,3.3199201165868446e-07,0.9999780548074194,1.5295027807609474e-06,1.3043508108216197e-06,1.2359507400559515e-06,1.6985205187055274e-06,2.427626237453341e-07,4.828085479982634e-07,5.615899422812407e-07,6.220022561983534e-06,2.4011923265160128e-06,6.360339082065843e-07,5.245559518131603e-07,9.316521736167322e-07,2.6710685453159066e-07,5.064276607335566e-07
1-4A-rep1,2.2220667043275127e-06,0.000805315142729326,4.984620188891245e-07,0.07266695832211935,2.2964379178449683e-06,1.958388502342157e-06,1.8556907380324957e-06,0.9260982526519241,3.6449053981252546e-07,7.249021516203272e-07,8.431867231345519e-07,9.338914476561964e-06,0.0004050685870205104,9.549589593515172e-07,7.87582862174131e-07,1.3988084262728358e-06,4.0104164345322295e-07,7.603645428977051e-07
1-4A-rep3,1.5559377833884266e-06,1.6724094403577486e-06,3.490335763832909e-07,0.10401330373850604,1.6080140693446024e-06,1.3713047675001373e-06,1.2993936356480985e-06,0.89585296506845,2.5522393251177704e-07,5.075917139521615e-07,5.904170556273079e-07,0.00011898453810131117,2.5244485285074636e-06,6.686823233283623e-07,5.514820641609833e-07,9.794750436255217e-07,2.808177830781663e-07,5.324232252521228e-07
1-4B-rep3,6.785409411864688e-07,0.007258221868902854,1.5221275166223917e-07,6.376965136587959e-07,7.012512914738994e-07,5.980229013827779e-07,5.666626197509476e-07,0.5122669663526017,1.1130257856629227e-07,2.213595961231122e-07,2.5747953992443495e-07,0.430426099920295,0.05004347341913499,2.916108457999392e-07,2.405000783825259e-07,4.271468467864848e-07,1.224639987961449e-07,2.321885619265295e-07
1-4C-rep1,2.7607126582174737e-06,2.967369236103596e-06,6.192930223506995e-07,2.5945329610924544e-06,2.853112022361122e-06,2.4331168445997634e-06,2.305524357232864e-06,0.9999596376223515,4.5284583271117067e-07,9.006239740912629e-07,1.0475816298696376e-06,1.1602738729329785e-05,4.4791488979024355e-06,1.1864483104965073e-06,9.784989679944372e-07,1.7378902808416776e-06,4.982572032592168e-07,9.446827200773547e-07
1-4C-rep2,0.12681989612300293,6.593938586441056e-07,1.3761617889366755e-07,5.765440578741456e-07,6.340041955947904e-07,5.406749807783601e-07,5.123220203327185e-07,7.040648429729482e-07,0.004322729560604153,2.0013212721825698e-07,2.3278831793493249e-07,2.5783022107549653e-06,9.953339272019964e-07,2.636465728705018e-07,0.868848632665021,3.861852324414524e-07,1.107202082763809e-07,2.0992264002984673e-07
1-4C-rep3,1.2201426721374935e-06,1.3114779686256005e-06,2.7370680569667707e-07,1.1466968033319947e-06,1.2609801011015167e-06,1.0753562778639747e-06,1.0189646653514875e-06,0.9998939833418327,2.001427141451569e-07,3.9804567819395195e-07,4.629960475410696e-07,9.330585953496107e-05,1.9796340227298904e-06,5.243704764468053e-07,4.3246382123063483e-07,7.680893862083723e-07,2.2021302129609912e-07,4.175181705225115e-07
1-5A-rep1,0.06142821630472609,3.091659389463299e-06,6.452325056431909e-07,2.7032066292384593e-06,2.972616439437749e-06,2.535029495738007e-06,2.4020927156456083e-06,0.9385326070605592,4.718135692877889e-07,9.383471837603815e-07,1.0914602546963457e-06,1.2088726842475613e-05,4.666760906771359e-06,1.2361434548252947e-06,1.0194840214601912e-06,1.810682923867046e-06,5.191270240594695e-07,9.842513584274816e-07
1-5A-rep2,7.989329874025464e-07,8.587381093320233e-07,1.7921952976578872e-07,7.508416217638398e-07,8.256727858417815e-07,7.041288065852801e-07,6.672043382605044e-07,9.169137749401786e-07,0.9999875335171726,2.606349487351845e-07,3.0316357575589746e-07,3.3577600651347627e-06,1.2962376940498376e-06,3.433507251405549e-07,2.8317148521167173e-07,5.029345845602004e-07,1.441925202573421e-07,2.733852744335518e-07
1-5A-rep3,0.054439127400777255,1.4167263230624333e-06,2.956722458999361e-07,1.2387211868716946e-06,1.3621759151323153e-06,1.1616554619799766e-06,1.100738325926138e-06,0.9453524117242095,2.1620450993603437e-07,4.2998952599225704e-07,5.001522737836826e-07,0.00019604807422089578,2.1385030455148007e-06,5.664521057852846e-07,4.6716978398934504e-07,8.297298757116362e-07,2.3788549362993994e-07,4.5102471919982e-07
1-5B-rep1,3.4101171046708124e-06,3.665385659674006e-06,7.649697704088417e-07,3.2048468365289105e-06,3.524251638443845e-06,3.0054606895560224e-06,2.8478545285880442e-06,0.9881208347063708,5.593690872936955e-07,1.1124784065387813e-06,1.2940050185679146e-06,1.4332059399278901e-05,0.011834841226881814,1.4655374094761044e-06,1.208671991896128e-06,2.1466954755682205e-06,6.154626075633583e-07,1.1669011233870199e-06
1-5B-rep2,8.826370869604015e-07,9.487079833152526e-07,1.979963353286676e-07,8.295071955369695e-07,9.12178410416136e-07,7.77900285116397e-07,7.371072453075143e-07,1.0129787054333927e-06,0.9997948669252904,2.8794163658157597e-07,3.3492598202464895e-07,0.00019507003231267162,1.4320443395435275e-06,3.7932353354074937e-07,3.128393228949852e-07,5.556269720331242e-07,1.592995508361625e-07,3.02027812155314e-07
1-5B-rep3,0.005460752994877274,1.7844756976235101e-06,3.7242191994405885e-07,1.5602645465961865e-06,1.7157652659317185e-06,1.463194342598184e-06,1.3864645274692327e-06,0.9945166346330091,2.7232619837504907e-07,5.416048582391034e-07,6.299802319962894e-07,6.977495431458752e-06,2.693608957420956e-06,7.134899664011935e-07,5.884362509697456e-07,1.0451085539224082e-06,2.996350638013048e-07,5.68100300910466e-07
1-5C-rep1,2.797267536082728e-06,0.00010408377488212345,6.274931444197057e-07,0.010817880129020997,2.8908903696305693e-06,2.465333992886273e-06,2.3360520403813275e-06,0.44504574508374856,4.5884201056665036e-07,9.12549227984467e-07,1.0614527650708266e-06,0.5440087861120286,4.538457765276134e-06,1.2021581935785228e-06,9.914553726241784e-07,1.7609018632931444e-06,5.04854677703509e-07,9.571913603195958e-07
1-5C-rep2,8.834542016916482e-07,9.495862641854659e-07,1.9817963345280042e-07,8.302751244617358e-07,0.03077462639014176,7.786204381575507e-07,7.377896335705359e-07,0.06078229011075853,0.9084312250937461,2.88208202938764e-07,3.3523604485549155e-07,3.7129863012166245e-06,1.4333700764097056e-06,3.7967469808135583e-07,3.131289386646228e-07,5.56141352168101e-07,1.594470248224613e-07,3.0230741900415853e-07
