,4_1,4_2,4_3,4_4
4-2B-rep1,8.774686830536249e-07,0.8315116497959429,2.1534232474862297e-06,0.16848531931212657
4-2B-rep2,2.43720415833148e-06,0.8053359051946318,0.0002820610142108184,0.19437959658699897
4-2C-rep1,8.671258922641311e-07,0.1584419218887227,0.6387634669830405,0.20279374400234462
4-2C-rep2,7.411773585742888e-07,0.19856532644536107,0.6811574232713332,0.12027650910594724
4-3A-rep1,0.6331759154778556,0.26333029960508264,1.7075529091856295e-06,0.10349207736415267
4-3B-rep1,0.5461605353291994,0.2010714593070796,3.677524934341751e-06,0.2527643278387866
4-3B-rep2,0.5927271004224289,0.24012970948810058,1.7492589137407592e-06,0.16714144083055688
4-3C-rep1,0.8883755521695728,4.3309866158739135e-06,2.325015062642216e-06,0.11161779182874872
4-4B-rep1,1.6469146635535936e-07,0.11908070599939902,0.83347612487244,0.04744300443669458
4-4C-rep1,1.5145721422399213e-06,0.04856026427984147,0.6898729105779811,0.2615653105700352
4-4C-rep2,2.0302693003680992e-06,0.06681943934675749,0.7237625285907842,0.20941600179315795
4-5A-rep1,1.6779434830046046e-06,0.999980833687897,4.117893406401273e-06,1.3370475213519654e-05
4-5A-rep2,9.338366180778104e-08,0.9999671985905231,2.291757553927177e-07,3.24788500597307e-05
4-5B-rep1,8.863225337103965e-07,0.913495118197378,2.175151758374746e-06,0.08650182032832994
4-5B-rep2,4.799820469964177e-07,0.9700632552303836,1.177938903507223e-06,0.02993508684866591
4-5C-rep1,8.276173744468845e-07,0.9999905465392244,2.031081597072246e-06,6.5947618041971426e-06
4-5C-rep2,2.6582333507456734e-07,0.9999969636325324,6.523653328365131e-07,2.118178799696723e-06
4-6A-rep1,1.4302812106886246e-06,0.8099361631705776,3.510097703796234e-06,0.19005889645050789
4-6A-rep2,7.767179544411443e-07,0.8352401941248658,1.9061677438023075e-06,0.16475712298943598
4-6B-rep1,1.177109324431547e-06,0.7929766509314383,2.888780685872972e-06,0.2070192831785514
4-6B-rep2,4.617429392264089e-07,0.8872775102126,1.1331777405804051e-06,0.11272089486672025
4-6C-rep1,8.114889922102425e-07,0.9674958636481142,1.991500431472281e-06,0.03250133336246214
4-7A-rep1,6.071188650648946e-07,0.28791992739904876,0.3948946671909807,0.3171847982911055
4-7B-rep1,1.497741110871436e-06,6.846925356756107e-06,0.9129441403315525,0.08704751500197988
4-7B-rep2,6.325910613378446e-07,2.8918908260528737e-06,0.9523387460304625,0.04765772948765008
4-7C-rep1,9.323299297474791e-07,4.262147436906813e-06,0.9857825926814231,0.01421221284121032
4-7C-rep2,2.889027469604756e-07,0.03941992017775236,0.960577488835398,2.302084102639695e-06
4-8A-rep1,1.675554902028877e-06,0.8586730791984442,4.1120315153720286e-06,0.14132113321513837
4-8A-rep2,1.9806187858035446e-06,0.8618843761146538,0.0007901174016722531,0.137323525864888
4-8B-rep1,9.821170284478304e-07,0.9700621227520848,2.410244014010473e-06,0.02993448488687284
4-8B-rep2,1.1299905436829546e-07,0.9686701643793798,2.773145017253874e-07,0.03132944530706414
4-8C-rep1,2.1991995680514307e-06,0.9130322477827955,5.397124213279991e-06,0.08696015589342318
4-8C-rep2,1.8826256695051224e-06,0.9667101436627215,0.00021787887728021567,0.033070094834328774
4-9A-rep1,1.8696671807609552e-06,0.9999786437236545,4.588408509465433e-06,1.4898200655204619e-05
4-9B-rep1,0.0001364281096199034,0.8175157337185481,0.024673061038956192,0.1576747771328757
4-9C-rep1,4.348045208652656e-07,0.8442555855495357,1.0670673283574646e-06,0.15574291257861506
5-10A-rep1,0.40144451916185164,0.5407749951684026,3.0230086934477147e-06,0.057777462661052326
5-10B-rep1,0.2631279879743745,0.6224819966673093,0.002882521483198797,0.11150749387511745
5-10B-rep2,0.28258491706801314,0.6123275047444573,4.807309413086442e-06,0.1050827708781163
5-10C-rep1,0.381051403776097,0.4083260081277548,0.015041713926557683,0.19558087416959044
5-11A-rep1,1.7199522129042425e-06,0.6468483246017179,0.2481220909132594,0.10502786453280968
5-11B-rep1,0.039736885927292104,0.6323123323467955,0.1706286609393596,0.1573221207865528
5-11C-rep1,1.5128849990160928e-06,0.5207312481438778,0.3418120656734273,0.13745517329769574
5-11C-rep2,1.3504217390243276e-06,0.5928494187407762,0.39275909588787955,0.014390134949605188
5-12A-rep1,7.76274004034796e-07,0.43536571280085484,0.0016286875535232576,0.563004823371618
5-12A-rep2,1.2906960071470591e-06,0.48234114384817683,3.167537304642781e-06,0.5176543979185113
5-12B-rep1,1.4770666822671301e-06,0.7244102860837944,3.6249153879911275e-06,0.2755846119341353
5-12B-rep2,1.4643262545299915e-06,0.8283027960257308,3.59364870713752e-06,0.17169214599930752
5-12C-rep1,1.4427872626620832e-06,0.9511981782825737,0.03808389108831279,0.01071648784185081
5-12C-rep2,0.013619465212080177,0.9184097101358993,0.044245720801705676,0.023725103850314816
5-1A-rep1,7.102294781717775e-07,3.2468149454618425e-06,0.9999099307387179,8.611221685853217e-05
5-1A-rep2,3.759649281272015e-07,1.7187241379435493e-06,0.9998245563838585,0.00017334892707539254
5-1B-rep1,7.011197351419166e-07,0.03244665042421472,0.6314774445523994,0.33607520390365075
5-1B-rep2,6.001436379436599e-07,2.7435573895287326e-06,0.6927444069388745,0.30725224936009804
5-1C-rep1,1.0017880314102542e-06,4.579675235306026e-06,0.7910133884400706,0.20898103009666272
5-1C-rep2,1.2585856679000416e-06,5.753625950869906e-06,0.8560594232765691,0.14393356451181208
5-2A-rep1,5.12947423234395e-07,0.14096574394592995,0.8590296557515734,4.087355073433921e-06
