,15_1,15_2,15_3,15_4,15_5,15_6,15_7,15_8,15_9,15_10,15_11,15_12,15_13,15_14,15_15
1-6C-rep2,0.47500275217400123,8.465711170844556e-07,2.3951738222661127e-07,1.1357851244368928e-06,0.5249861167874289,7.118010027799725e-07,5.413843998373433e-07,3.525620461364696e-07,1.8027893961522834e-06,9.381950243905677e-07,6.259906352251976e-07,1.4565860515343466e-07,1.6901520264536477e-06,1.0851476249014266e-06,1.0154841851710468e-06
1-7A-rep1,0.006396378826627661,3.064192240870944e-06,8.669411102756586e-07,4.111011934333414e-06,0.12199489040907664,2.5763873415314722e-06,1.9595587940955755e-06,1.2761100212318954e-06,6.525256021772766e-06,3.3958280127273782e-06,2.265793869652613e-06,5.272161531618999e-07,6.117561325724875e-06,0.8715723693287764,3.675578694019928e-06
1-7A-rep2,1.8647533881183991e-06,8.682689189295048e-07,2.456562648238538e-07,1.1648955441892924e-06,0.22255020056286026,7.300446172852928e-07,5.552601997466611e-07,3.615982880549274e-07,1.848995280450325e-06,9.622411669064442e-07,6.420349113478588e-07,1.493918668816755e-07,1.733470990469687e-06,0.7774376313144369,1.0415112656867461e-06
1-7B-rep2,2.5768349661989867e-06,1.1998292774890416e-06,3.3946346841213116e-07,1.6097268353887958e-06,0.15785771146281843,1.0088221363170711e-06,7.672938991088635e-07,4.996795384926625e-07,0.019129098961863666,1.3296861132412685e-06,8.872047208081464e-07,2.0643919388980544e-07,2.395420589980054e-06,0.8229989299479956,1.4392265831032064e-06
1-7C-rep1,0.019775682144237906,2.101733717310146e-06,5.946361126058954e-07,2.819748800159189e-06,0.3793674354161171,1.7671476587933203e-06,1.3440641007013572e-06,8.752856373848516e-07,4.475682175587921e-06,2.329203154207725e-06,1.5541111646996352e-06,3.616182922961668e-07,4.1960438168637905e-06,0.600831942080479,2.521084535366082e-06
1-7C-rep2,0.029888019264267804,9.59708423364919e-07,2.715269215146893e-07,1.2875735175192803e-06,0.48694303903647346,8.069273854749125e-07,6.13735997268173e-07,3.9967908024221663e-07,2.043717455184216e-06,1.0635771165541176e-06,7.096491640799089e-07,1.6512468649150753e-07,1.916027022208264e-06,0.4831575532571474,1.1511953415784797e-06
1-8A-rep1,5.887587633397782e-07,2.741386277737888e-07,7.75610756928562e-08,3.6779258018077364e-07,0.998954106698284,2.3049705596162186e-07,1.7531235530533626e-07,1.1416746163728252e-07,5.837834545175258e-07,3.0380849450238e-07,2.0270974319427208e-07,0.0010417472316668391,5.473089595317107e-07,3.5139502732738035e-07,3.2883645027663134e-07
1-8A-rep2,9.607401985757218e-07,4.4734111164757134e-07,1.2656464396419923e-07,6.001662115619844e-07,0.999993157448968,3.7612652431618804e-07,2.860757878038139e-07,1.8629917139931984e-07,9.526214588074143e-07,4.957565840404491e-07,3.307830151435142e-07,7.696823224347226e-08,8.931021518558881e-07,5.734085831996302e-07,5.365973573719569e-07
1-8B-rep1,0.00021672185562330158,1.53519990429035e-06,4.3434869776390646e-07,2.0596700963942416e-06,0.9987671105588326,1.2908033469237452e-06,9.81764274780547e-07,6.393476089157925e-07,3.2692375780079186e-06,1.70135371096814e-06,1.1351920044166891e-06,0.0009962463362477253,3.0649772675730526e-06,1.967842389457962e-06,1.8415124168799506e-06
1-8B-rep2,9.086932124911211e-07,4.231069257068693e-07,1.1970815115482925e-07,5.676529030651377e-07,0.9991896455983488,3.55750306056397e-07,2.7057796376247624e-07,1.7620662984045964e-07,9.010142960344351e-07,2.007579071398326e-05,3.128632289081516e-07,7.279856752196786e-08,8.447193785122922e-07,0.0007848179915563015,5.075278178298674e-07
1-8C-rep1,0.0004018673136920509,2.846721018252132e-06,8.054127437862995e-07,3.819246039349651e-06,0.9646024769067266,2.3935365080787947e-06,1.8204853896722668e-06,1.1855422027994137e-06,6.062146891076598e-06,0.01781206241024167,2.1049864123190913e-06,4.897986765808885e-07,5.68338701929402e-06,3.648969932203695e-06,0.017152733136506254
1-8C-rep2,2.2829811230565626e-06,1.0630046655407548e-06,0.7711644769836645,1.426158844736203e-06,0.22872104414187722,8.937793548846221e-07,6.797942089733083e-07,4.4269771596551383e-07,2.2636887798595856e-06,1.1780530518794e-06,7.860307922161502e-07,1.8289754248586414e-07,5.138218286641005e-05,5.0622503627957417e-05,1.2751018843370074e-06
1-9A-rep1,0.005748809810670983,1.3776955153606705e-06,3.897865361636361e-07,0.2954662742078053,0.6984494359319198,1.158372911110509e-06,8.81039814246022e-07,5.737535099489336e-07,2.9338289673435603e-06,1.5268027122021847e-06,1.0187265705185819e-06,0.00031945098557641506,2.7505248172678245e-06,1.7659508884258738e-06,1.6525817850342116e-06
1-9A-rep2,1.2282682880382161e-06,5.719078916308808e-07,1.6180788396127566e-07,0.25437050308517184,0.7455155067978796,4.808628626058233e-07,3.6573656297080634e-07,2.3817611114514598e-07,1.2178888008355049e-06,6.338051553018718e-07,4.228929822284534e-07,9.840083613776926e-08,1.1417957245148202e-06,0.00010674255538287954,6.860184662639966e-07
1-9B-rep2,4.49954492752387e-05,9.279719193274891e-07,2.625478242898177e-07,0.604573022217271,0.3486273371298565,7.802431826445913e-07,5.934404215693328e-07,3.864621318077021e-07,1.9761339624391935e-06,0.0061073796658770736,6.861818452436157e-07,1.596641943754303e-07,1.8526661119091415e-06,1.189488400810849e-06,0.04063845073772583
1-9C-rep1,4.835486364202365e-06,2.251505504532577e-06,6.370105164604258e-07,0.6672277987180298,0.33263644744964693,1.893076486486174e-06,1.4398435426190442e-06,9.376594258251068e-07,4.79462406292429e-06,2.4951846562108812e-06,1.6648587845157615e-06,3.8738759764795797e-07,0.00010883044196214428,2.8860137103546785e-06,2.700739709325919e-06
1-9C-rep2,1.5163721444687484e-06,7.060551872230189e-07,1.9976170547087827e-07,0.5822645578562655,0.4177255895545843,5.936545437720251e-07,4.515241024324285e-07,2.9404294154271516e-07,1.5035580342117787e-06,7.824711358912366e-07,5.220871894093809e-07,1.2148183614678206e-07,1.409616488668896e-06,9.050321869036267e-07,8.46931654073228e-07
2-10A-rep1,0.04045433369065332,1.0671575457646717e-06,3.0192712298667977e-07,0.8773854481698927,0.08209816610338837,8.972711162359775e-07,5.013482381356806e-05,4.444272197479559e-07,2.272532417777392e-06,1.1826553959522607e-06,7.891016082136732e-07,1.836120751796658e-07,2.1305457416633373e-06,1.3678986358173172e-06,1.2800833727260998e-06
2-10A-rep2,2.454034172300263e-06,1.14265061073262e-06,3.232861097657936e-07,0.7670989496972745,0.23272625304898945,9.607460426333995e-07,7.307279951219258e-07,4.758669758618632e-07,2.433296344470246e-06,1.266319032118881e-06,8.449243864075914e-07,1.9660119602264865e-07,2.2812652195238672e-06,0.0001603168963735314,1.3706392776204952e-06
2-10C-rep1,0.0933763266941122,2.6616792196675322e-06,7.530595199341496e-07,3.5709884293389975e-06,0.7233010584493045,2.237952487869908e-06,1.7021506850622679e-06,0.011348659532417493,5.668096839520229e-06,0.0064167829548314416,1.9681586482936494e-06,4.579609139488016e-07,0.16553154778822354,3.411780564188043e-06,3.1927538029875245e-06
