,3_1,3_2,3_3
4-3C-rep1,0.17177005332291762,0.8282289973189465,9.49358135827158e-07
4-4B-rep1,0.01790168853678456,0.9820981464292944,1.6503392112323988e-07
4-4C-rep1,0.18753557736370205,0.8124629049150656,1.5177212325652262e-06
4-4C-rep2,0.16537586639048493,0.834622099119027,2.0344904881970978e-06
4-5A-rep1,0.0003949347753340407,0.9996033837924478,1.6814322182083471e-06
4-5A-rep2,8.230728179939121e-07,0.99999908334934,9.357784202080463e-08
4-5B-rep1,0.1333392397019478,0.8666598721326084,8.881654438077338e-07
4-5B-rep2,0.09012423765886649,0.9098752813610453,4.809800882202751e-07
4-5C-rep1,0.07772622170916185,0.5609127501132739,0.3613610281775642
4-5C-rep2,0.04307718201416476,0.604284005337339,0.3526388126484963
4-6A-rep1,0.23761244074825588,0.7623861259966846,1.4332550595656137e-06
4-6A-rep2,0.20804612142178286,0.7919531002452397,7.783329774150935e-07
4-6B-rep1,0.2958244813523442,0.70417433909084,1.1795568159479902e-06
4-6B-rep2,0.18945266834580762,0.810546868951136,4.627030564246806e-07
4-6C-rep1,0.09542347057811694,0.9045757162455724,8.131763106048838e-07
4-7A-rep1,0.31302453488533283,0.6869748567334115,6.083812556090196e-07
4-7B-rep1,0.04904493155738763,0.950953567587403,1.5008552095112671e-06
4-7B-rep2,0.023473627132635247,0.9765257389609503,6.339064144546772e-07
4-7C-rep1,8.217447500842276e-06,0.9999908482840028,9.342684963431291e-07
4-7C-rep2,2.546355405008623e-06,0.9999971641411165,2.8950347844008296e-07
4-8A-rep1,0.2451443318107399,0.7548539891505887,1.6790386714837025e-06
4-8A-rep2,0.242212997400925,0.7577850178623182,1.9847367567982347e-06
4-8B-rep1,0.11354081834642815,0.8864581974944623,9.841591095033938e-07
4-8B-rep2,0.09943312388610255,0.9005667628798752,1.1323402216549549e-07
4-8C-rep1,0.1787624219007991,0.8212353743272662,2.2037719346591835e-06
