,8_1,8_2,8_3,8_4,8_5,8_6,8_7,8_8
1-7A-rep2,1.0576019031901164e-06,0.00104644824699096,0.21096335980986558,1.2070994885282168e-06,2.5535344223515156e-06,0.7879816232642536,1.8657907845502157e-06,1.8846522912477802e-06
1-7B-rep2,1.461461784785443e-06,4.3759418638940077e-07,0.17248209484507257,1.6680470861453433e-06,3.528636780195033e-06,0.8020406267581082,2.5782687434657717e-06,0.025467604388238266
1-7C-rep1,2.560034443848537e-06,7.665312916472922e-07,0.3847268603587752,2.921908762137207e-06,6.181093334887495e-06,0.6152516317392622,4.516338954247425e-06,4.5619951758020535e-06
1-7C-rep2,1.1689805527316244e-06,3.5001879570373173e-07,0.5045112008457019,1.3342220953323288e-06,2.8224533933380313e-06,0.49547897806802926,2.062281786772663e-06,2.0831296449867633e-06
1-8A-rep1,3.339166938143724e-07,9.998209017349762e-08,0.9999962062447896,3.81117572782871e-07,8.062275316268359e-07,9.883837702267625e-07,5.890862036528853e-07,5.950413479636233e-07
1-8A-rep2,5.448873564046115e-07,1.6315140216598456e-07,0.9999938093264409,6.219100469066226e-07,1.315607145454593e-06,1.6128508386929378e-06,9.612745638326437e-07,9.709922056894172e-07
1-8B-rep1,1.8699628711147151e-06,5.599085037204472e-07,0.9999076130214072,2.1342919471690514e-06,4.5149451277531695e-06,5.535036094253733e-06,3.298934581956512e-06,7.447389946681765e-05
1-8B-rep2,5.15368712318835e-07,1.543128631247944e-07,0.9999941446990409,5.882187873972475e-07,1.244335645708981e-06,1.525476504693031e-06,9.091986230258704e-07,9.183898228429242e-07
1-8C-rep1,0.01187608189657419,1.0382386557657445e-06,0.9872964826596876,0.00039971143287928664,8.372065309147337e-06,0.0004060174346785294,6.1172162649269964e-06,6.179055950548118e-06
1-8C-rep2,1.2948014071639684e-06,0.7791449017440846,0.22079151527178045,1.4778283885635957e-06,5.238618517156715e-05,3.832574771535897e-06,2.2842513104620523e-06,2.3073430856749877e-06
1-9A-rep1,1.6781132814131347e-06,5.024644665320724e-07,0.7317134340367784,1.915323410043134e-06,4.051732524088881e-06,0.268272467443561,2.960479067263094e-06,2.9904069113802165e-06
1-9A-rep2,6.966169256921591e-07,2.0858261228369982e-07,0.7710115827089411,7.950873879544682e-07,0.001114781617874804,0.22786946505964703,1.228951495262664e-06,1.2413751158801635e-06
1-9B-rep2,1.130323639167329e-06,3.3844405538852284e-07,0.32635323485879153,4.4292585541609843e-05,0.003012903048170598,0.6705840924126106,1.9940843744288887e-06,2.0142428166804224e-06
1-9C-rep1,2.742465343636102e-06,8.211551634418912e-07,0.24165880091035521,3.1301272280468e-06,0.006266748484776607,0.752058031590823,4.838178287756695e-06,4.887088022403355e-06
1-9C-rep2,8.600161308642315e-07,2.5750797111848115e-07,0.36956443427969576,9.815839292278719e-07,0.0065785548166855294,0.6238518620265455,1.5172156618581348e-06,1.5325533801086218e-06
2-10A-rep1,1.2998598579137336e-06,3.892069726801028e-07,0.008959367315346804,0.0034631507931749184,0.05395569425164711,0.9336154890404449,2.2931752834281977e-06,2.3163572721727168e-06
2-10A-rep2,1.3918148238469928e-06,4.167403361391666e-07,0.17977691531167928,1.5885551613740665e-06,0.03971643044561393,0.7804983215112854,2.455399583057756e-06,2.480221517041209e-06
2-10C-rep1,0.012584231872938972,9.707512944633493e-07,0.7871964263515231,3.700366500437198e-06,0.2001935771981619,9.59646695432383e-06,5.719586315451137e-06,5.7774063113957445e-06
2-10C-rep2,3.32522689570337e-07,0.8284516594010067,0.17154466224629233,3.7952651871526234e-07,8.028617681847398e-07,9.8425755792305e-07,5.866269415578571e-07,5.925572248880069e-07
2-11B-rep1,4.2503965879726074e-07,1.2726633403002167e-07,0.39472172144012485,4.851212475987307e-07,1.0262400212495112e-06,0.007892402968106876,7.498427111942703e-07,0.5973830620817954
2-11B-rep2,1.5548267552699796e-06,4.655497365938484e-07,0.43052168837201477,1.774609685719331e-06,3.7540624959156293e-06,0.0008327365575573805,2.742980532471069e-06,0.5686352830412218
2-11C-rep2,1.980122519042249e-06,5.928927541535634e-07,0.3525693684051711,2.2600232400767865e-06,0.014091972122003396,0.08128970766173366,3.493275056678163e-06,0.552040625497522
2-12A-rep2,1.9191132451218385e-06,5.746252196471244e-07,0.041556077617571796,2.1903899847633583e-06,0.16428053571587337,0.7941518970237051,3.3856442546632967e-06,3.4198701455368525e-06
2-12B-rep2,1.869563859734634e-06,5.59789030832381e-07,0.018433950593983485,2.13383653343411e-06,0.00021789328794413277,0.8511755863356516,3.2982306575841742e-06,0.13016470836233923
2-12C-rep2,2.0237238848005156e-06,6.059479735052322e-07,0.1573835521509514,2.3097878879534407e-06,0.1317371049849984,0.18886579886857668,3.5701953290227878e-06,0.5220050343403982
2-1A-rep1,3.6009568678687566e-06,1.078206633401427e-06,0.47786640358616694,4.109971039485896e-06,8.694355870361013e-06,0.4067525061377347,0.010692059709312283,0.10467154707637495
2-1A-rep2,2.3174032554754914e-06,6.93882113561268e-07,0.5953880814162774,2.644980380576372e-06,5.595270739846974e-06,0.3277132523075564,4.088296007326292e-06,0.07688332644366948
2-1B-rep1,0.00010252116588409592,7.862105412469298e-07,0.36023997895912785,2.9969232755224274e-06,6.3397812839136875e-06,0.5760046910621954,0.02907419583200378,0.03456849006568821
2-1B-rep2,1.3716240902947563e-06,4.106947811247444e-07,0.3692009589209198,1.5655103615581823e-06,3.311727521035512e-06,0.5763088668008585,0.031155441300806583,0.02332807342066121
2-1C-rep1,2.076809485950538e-06,6.218429840255699e-07,0.09474771077697733,2.370377417721794e-06,5.014367405206476e-06,0.8281991444485041,0.04014123707327185,0.03690182430395382
2-1C-rep2,1.0771482218272682e-06,3.2252215190183203e-07,0.1375750712877593,1.2294087819952068e-06,2.600728170130963e-06,0.803856233854622,0.017991882277626603,0.04057158277266618
2-2A-rep1,2.8207502728836114e-06,8.445954136607123e-07,0.23364045055445157,3.219478143328908e-06,0.6778004671435165,0.08854219459971109,4.9762863028033665e-06,5.026592188225536e-06
2-2A-rep2,1.96885030847336e-06,5.895176034215673e-07,0.29386017993254543,2.2471576433231825e-06,0.5971372795365433,0.10899075311454788,3.4733889477958856e-06,3.508501860478586e-06
2-2B-rep1,3.3541985972175213e-06,1.0043217150240809e-06,0.19079656254050117,3.828332190884402e-06,0.7318426928823136,9.928330979014016e-06,5.9173804560700764e-06,0.07733671201324703
2-2B-rep2,1.8526965697643678e-06,5.547385887968978e-07,0.20195084367145347,2.1145849634108807e-06,0.6962526310266675,5.483928340904885e-06,3.268473870940796e-06,0.1017832508795452
2-2C-rep1,2.6059738284399913e-06,7.80286565875334e-07,0.760243317684315,2.974341920092367e-06,0.22287910601721075,7.713607272051056e-06,4.597383892007182e-06,0.016858904704995892
2-2C-rep2,1.7177015887983865e-06,0.7779794832963747,0.222001515557308,1.9605077326623465e-06,4.147316793865579e-06,5.084347095880281e-06,3.030319617731607e-06,3.060953488495088e-06
2-3A-rep1,3.28873010410488e-06,9.847189910418236e-07,0.3225750625570936,0.11511209625606135,0.005888475393824649,0.5131176836700766,0.043296548139079155,5.860534769558398e-06
2-3A-rep2,9.834480101841327e-07,2.9446622303297544e-07,0.23328700880980574,0.1299049245138534,0.00041393607786579595,0.5873761219188556,0.03681778946875109,0.012198941296635226
2-3B-rep1,3.60540220690163e-06,1.0795376668486006e-06,0.23485063775298684,0.11453719391023888,8.705088950743363e-06,0.6180778016683137,6.360546621505868e-06,0.03251461609301457
2-3B-rep2,1.8874184912041821e-06,5.651351048881912e-07,0.331395645008897,0.0899747015105792,4.557090973583718e-06,0.5464469952591139,3.329729283633295e-06,0.032172318847556614
2-3C-rep1,2.6153082233314923e-06,7.83081491463199e-07,0.5352159117638868,0.09164048855320815,0.00030480804643384196,0.37282611890204537,4.613851362343026e-06,4.660493348729178e-06
2-3C-rep2,1.3991493399104366e-06,0.00010687853089593873,0.5215014565079067,0.07090368682511784,3.378186055353053e-06,0.4074782391700952,2.4683389248261763e-06,2.4932916641943747e-06
2-4A-rep1,9.303248410950285e-05,7.134440879063911e-07,0.8930968754007449,2.719547857294621e-06,0.04669037346740607,0.06010783605447509,4.203553541779981e-06,4.2460477774351145e-06
2-4A-rep2,9.294755948507003e-07,2.783056806081378e-07,0.8677733844905599,1.060861853367952e-06,0.0678252969263261,0.0643957538554203,1.6397540455494267e-06,1.6563305192723069e-06
2-4B-rep2,1.5516143924638338e-06,4.645878836715366e-07,0.3472850224902179,1.7709432385537493e-06,0.29226245798453254,0.36044323008115076,2.7373133746281605e-06,2.764985209528625e-06
2-4C-rep2,2.287952783045867e-06,6.850639866312389e-07,0.20865890189269104,2.6113669291449e-06,0.7644240965520402,0.026729216105086502,9.10801313131996e-05,9.112093517012436e-05
2-5A-rep1,1.8675713543351845e-06,5.591924303682254e-07,0.08775972100645639,0.00014423282584003923,4.5091709130890865e-06,0.9120824874952504,3.2947155370069083e-06,3.3280222183789067e-06
2-5A-rep2,1.2537916356039925e-06,3.754131215716411e-07,5.5884040600906056e-05,1.4310216703406167e-06,3.027226114395217e-06,0.9999335823403515,2.2119030538805224e-06,2.234263451740022e-06
2-5B-rep1,1.2734728001182509e-06,3.813061002745206e-07,0.3493705087383341,1.4534848708578819e-06,3.0747454417598237e-06,0.6506187922930631,2.2466239968640367e-06,2.269335392972671e-06
2-5B-rep2,1.6849980825337038e-06,0.8375289475224286,0.10373247021172495,1.923181413972769e-06,4.068355581024944e-06,0.05872493043007002,2.9726250348955956e-06,3.0026756640815183e-06
2-5C-rep1,1.4206253054402382e-06,4.253668355683897e-07,0.16063647420639302,1.6214381559021183e-06,3.4300388527697053e-06,0.8393515905363028,2.506226204013134e-06,2.531561950509492e-06
2-5C-rep2,3.4501778783123587e-06,1.0330600480124465e-06,0.10608055903494146,3.937878647608259e-06,8.330306468749422e-06,0.8938904546021061,6.086704336477572e-06,6.14823557329105e-06
2-6A-rep2,2.3645165140593486e-06,7.079888717897654e-07,0.3503964391824611,2.698753345779943e-06,5.709023681459638e-06,0.5326400996919425,4.1714118597380015e-06,0.11694780943132357
2-6B-rep2,1.6471957676646842e-06,4.932070747789775e-07,0.5349326343565894,1.8800355432950257e-06,0.05709322668111263,0.2874564540319091,2.9059352809300118e-06,0.1205107585567221
2-6C-rep2,0.01941085157125105,4.389609459280352e-07,0.41859416311114245,1.6732569800077168e-06,0.0003939583326976932,0.5084967762121242,0.00011413451436386071,0.05298800404049488
2-7A-rep1,3.0086610215708164e-06,9.008600741818716e-07,0.076938576201914,3.433951063569582e-06,0.0191225357721413,0.844514732179554,0.05941145092407633,5.361450155098695e-06
2-7A-rep2,1.7368836775328083e-06,5.200616311938546e-07,0.08075950604934677,1.982401310416301e-06,0.015995238419665023,0.8322663358018553,0.07097158524643982,3.095136073998385e-06
2-7B-rep1,2.747338304805401e-06,8.226142364743751e-07,0.00022697528772213206,3.1356890078784506e-06,6.633330471517075e-06,0.8070135187541084,0.12783383109685675,0.06491233588929204
2-7B-rep2,1.5544589550407395e-06,4.6543960901901634e-07,1.0146935560344963e-05,1.7741898949953762e-06,3.7531744580413778e-06,0.8332063408649728,0.10189830607094669,0.06487765886560312
2-7C-rep2,1.3782407493614344e-06,4.126759561175097e-07,0.4738581492587281,1.573062320145871e-06,3.3277031604861994e-06,0.473224020054275,0.006766461627072928,0.04614467737773789
2-8A-rep2,1.600750590974612e-06,0.819343642106559,0.18063865045438693,1.8270250968708285e-06,3.864943627014648e-06,4.738175519849095e-06,2.8239980393330044e-06,2.8525461800858964e-06
2-8B-rep2,1.224186193921975e-06,3.6654859339826625e-07,0.7251097118197323,0.0009328658173586077,2.9557450455772446e-06,0.15458083540491402,2.159673987257032e-06,0.11936988080417493
2-8C-rep1,3.0849327254003234e-06,9.236975199018132e-07,0.8601839329431696,3.5210041734439724e-06,7.4484377166748825e-06,9.131311774792896e-06,5.442349368555007e-06,0.1397865153235516
2-8C-rep2,1.4488945542503395e-06,4.338312778560216e-07,0.8418927131616544,1.6537034115496549e-06,0.00022398758996635884,4.288686036724697e-06,2.5560979976974565e-06,0.15787291803510126
2-9A-rep1,0.006510093620283352,6.171133874187021e-07,1.3453538663719376e-05,2.3523488650487735e-06,0.11330747160816682,0.8801587030520097,3.635981024071625e-06,3.6727375998922502e-06
2-9A-rep2,3.1223998887497e-05,2.394494527401856e-07,3.5644473168058025e-05,9.127474138034802e-07,0.12109062083705448,0.8788385225991775,1.4108163655781113e-06,1.4250784803600748e-06
